Class	Average Difficulty	Additional Comments	Difficulty	Date
		Took it with Professor Nida. Easy class that mostly consists of busy work. However, if you're up for the challenge, you could probably complete most of the busy work within the first week. Exams are replaced by papers you have to write, and you're given plenty of time to complete. Honestly, the most important part for this course is the discussion section. Since Nida basically doesn't talk to students, any questions you may have should be asked to the TA. Discussion sections are also mandatory, making them just that important. Overall, fairly easy A.	3	6/5/2022
		Took it with Dr. James during Fall'22 and course was based on discussion assignment and 2 papers which were manageable!  	1	1/6/2023
		Easiest class I have taken in my life, I got an A+ and didn't even attend lecture, the essays were super easy. Attendance only counts towards discussion and that is it, overall one of the easiest class I have ever taken in my life. Also you can do the homework or inquisitive quizzes in about a week, I mean all of it. Just go to TA office hours for clarifying questions.	1	4/3/2023
ANTH002	3.92	Took this class with Professor Greer.  Really nice guy and funny at times.  Final exam is easy.  Study his powerpoints (he posts them on iLearn) and you won't even need to read the book.	1	3/20/2017
		Pretty easy class for the most part with Greer, but for Midterm 2 and the Final, there were a lot of primate species to memorize, and check the notes on the bottom of his lecture slides.	4	12/10/2017
		Took with Dr. Greer, you have to memorize his slides.	7	12/13/2017
		Took it with prof becker, 2 midterms + cumulative final but it was mostly multiple choice, got a c on final and ended with an a in the class, reading helps a lot with understanding material and answering pop quizzes (easy points), discussion wasn’t that helpful but i had a bad ta so 	7	3/29/2018
		Read the book and go to lecture and you'll be fine. Took it with Sara Becker	5	12/18/2018
		it is pretty difficult and tests were not curved for me	7	6/4/2019
		Pretty easy if you go to lecture and do all the homework. Dr. Becker is a pretty good professor and she knows her stuff. 	4	12/10/2019
		Took this class online with Dr. Berger and found it to be very easy. No midterms or finals. Only required assignments are weekly quizzes based off the textbook, as well as a short essay (4 pages) at the end of the quarter. She offers a lot of extra credit and additional optional assignments (extra essays, a podcast, infographic, etc.) meant to help raise your grade. Would definitely recommend.	2	12/11/2020
		Took this with Berger, and I loved it! You get out of the class what you put in...literally. You choose your assignments worth diff points to build your grade with only one essay being mandatory to pass (beyond discussion work and attendance). 	3	12/30/2020
		Taken Fall 2020 with Dr. Berger, like others mentioned you get out what you put into the class. There's no formal midterm or final and with the bare minimum effort of showing up to class, discussions, doing the weekly open book/note lecture quizzes, and one 900-1200 word essay you'd get a 75%. Doing additional assignments (another essay, an infographic, an around 10 minute podcast/YouTube video, or a research poster) would raise your grade by 10 or 15 percent each. 	2	6/6/2021
		Had Maureen Hickey (Winter 2023), and as long as you put in the bare minimum effort for the class (attending lectures and doing the homework) you should do well. Attendance for lectures are required and recorded through a PollEverywhere, and homework consists of 15-18 multiple choice questions per chapter. Homework is based on mastery, so you can easily get 100% for each assignment. First half of content is really basic bio, but the second half picks up with more specific taxonomy and primate classification. During discussions right before the midterms/final, the TAs will give you topics and practice questions that pop up on the tests verbatim. She's really nice and enthusiastic about bio anth! super sweet prof	3	4/6/2023
ANTH003	4.20	Professor Schwartz. Imo, not too terribly of a hard class if you keep up with the readings. I did not keep up with the readings. The class is split into the lecture portion, and the discussion portion. In discussion, you will research an archaeological site (Giza, Technotitlan, etc...) and give an oral presentation, write a group paper on the site, and an individual paper about one certain aspect of the site (indigineous people, religion, tourism etc). This is worth ~50% of your grade. The other half is the lecture portion. I personally did not care at all for the material presented. It was all dates and sites of importance cause they found evidence of fire here or whatever. Very uninteresting stuff. One midterm, one final. The average the midterm was a C, i believe. Shows how much everyone didn't understand what was going on. The average on the final i believe wasn't much better. I ended up with a C- in the clAss, which I'm honestly ok with. Difficult class, imo. Take cultural anthropology. I've heard its easy. Definitely easier that world pre history lol	9	6/28/2017
		"Prof. Thomas Fenn:
Memory-heavy, bi-weekly short writing assignments
The professor doesn't communicate with the class much, so be ready for a pretty independent experience. Studying for the midterm and exams can be done in less than two days.
A little tedious, but definitely not hard. Imagine your typical AP History high school class but with less work and heavier exams."	3	9/22/2018
		I took it with a professor named Jennifer Sylversten (I totally butchered her last name now). She was really chill and made the class easy. 	3	11/22/2018
		Take this with Karl Taube. Easy class, one midterm, one final, each worth 40% of grade. Discussion section attendance worth the other 20%. He hands out an outline of the lecture at the beginning of class. Read the textbook and go to lecture.	2	3/17/2020
		Took with Karl Taube. He's a nice cool professor but his lectures make you fall asleep. 	4	6/21/2020
ANTH005	4.27	Took it with Professor Stanton and his grading policy is very straightforward. He doesn't post slides online, so if you don't attend lecture regularly, you'll most likely fail the class. Easy to follow the class but it could get really boring sometimes. Going to discussion and following the study guide helps a lot for the exams	4	1/4/2018
		Ok teacher, not hard and not easy. Memorization is key	6	3/29/2019
		The midterm and final require lots of memorizing, however, a fairly accurate study guide is given. The writing assignments and quizzes are super easy and should be an easy grade booster.	4	1/11/2020
		Took this course online w/ Stanton because of quarantine. I did not watch all of the pre-recorded lectures because I relied more on the textbook (which he wrote himself). The online reading quizzes were easy and directly pulled out of the textbook. The five assignments in section are really easy. Two midterms and one final, all multiple choice. 	3	6/3/2020
		I had Professor Tsukamoto as my professor, and I had a lot of fun in class. I'm not really interested in archaeology, so I was a little hesitant taking the course, but I'm happy I did it. I will be honest though, he is incredibly difficult to understand due to his thick accent, but if you read the book he provides you, the class is incredibly easy. The quizzes are very straightforward and short, the exams are exactly what he describes them to be. My TA Johanna Najera was also super nice and she is very knowledgable on the topics that we learn. She also worked with the professor on various excavations that he went to. Overall a pretty easy and engaging class, just make sure you show up to every lecture because he asks mini quiz questions throughout every lecture. 	5	11/16/2020
		Two midterms and a final and online chapters quizzes, overall, interesting class and if you take notes it will be easy.	2	11/20/2020
		So fun I loved this class with Tsukamoto and you just have to keep up on the vocab and put in a bit of effort into the exercises and you’ll be good 	3	12/22/2020
		Took it with Professor Stanton. Very awesome professor. Very understanding. It was asynchronous and heavy on memorization. The lectures were a little boring sometimes but overall a good class. 	4	12/28/2020
		"This class is pretty lecture heavy BUT there's no exams, only writing assignments / ""projects"" and so it's a pretty easy class if writing is your thing. Professor Santasilia is kinda strict at times and lectures are mandatory but it's a great class"	4	2/2/2021
		(Spring 2021 Online) Professor Stanton. Maybe it's because the course was online but it was really simple. He had pre-recorded lectures but also held lectures that were optional. I never went and I did well on my quizzes/exams just by using the resources given by him. The class itself was graded by a few assignments given during discussion, easy chapter quizzes, 2 midterms, and the final. Discussion attendance is a must. (Be prepared to pay for the website/book he uses). Again, this course was online for me so it might be different when courses are back on campus.	2	6/3/2021
		"DO NOT TAKE IF THE PROFESSOR IS NAWA SUGIYAMA. She's sweet but she goes through the ppt slides way too fast for anyone to take notes, and the ""study guides"" for the midterm and the final are literally just pages and pages of terms to memorize. And when most of the class bombed the midterm (the class average was a D-), she didn't curve it. You also *have* to buy the $80 book or you literally won't be able to complete any of the quizzes that were assigned for homework since they're on a separate website connected to the book. The midterm/final was a bunch of mc questions, pick 3 short answer questions, and one long essay question. She always uploads the slides and everything is in the textbook anyway so there's really no point in going to class."	10	2/28/2023
ANTH006	See MUS006			
ANTH007S	2.00	Easy A. Took it with Stephan James. Completely asynchronous (10-30 minute podcasts). A couple of 3-4 sentence short assignments, a presentaion (3 minutes long, it is meant to be commercial of sorts for your final project) and a final project on a language of your choice(your given multiple options on how to do it: essay, powerpoint, art peice, presentation, podcast). Discussion section was just going over key points, show up and you get participation points.	2	3/25/2021
		Took it Winter '22 with Prof. Hyejin Nah. Professor is super nice and accommodating! She accepted late work from students all quarter without docking points and even dropped the last assignment to give us more time with our finals. Also, lecture and discussion attendance is mandatory.	2	3/31/2022
ANTH020	6.00	I took it with Isabelle Placentia. She's pretty nice but not the best lecturer. She has a lot of requirements and specifics for assignments but doesn't really get into them. She believes there should be a discussion section for the class but there isn't, so she makes you do a lot of discussion type stuff to make up for it. One take home midterm and the final is a research project with a group. Attendance mandatory. 	6	11/18/2019
ANTH020S	2.50	Took it iwth Isabelle Placentia. Very sweet woman and easy grader. You are graded by attendence, attendence at discussion, a midterm, and a research project (includes: Proposal, Outline, Annotated Bibliography, and the 5 page paper). All the readings are posted on ilearn. 	3	3/25/2021
		Took with Professor Isabelle Placentia Fall 2021. The class was asynchronous bc the university overbooked her quarter and she had another class to teach during our scheduled time. Professor herself is super nice and understanding; she makes a real effort to help her students succeed. We met synchronously online for our discussion sessions. The class is graded on very few things; discussion attendance, a midterm, and a final paper. Discussion is really chill -- you just talk with your TA about the lecture. Midterm was MC, free response, and an essay question. A big chunk of our points came from that but it's super doable. There is a LOT of reading, but you don't need to read everything to do well. The paper covered health and healing techniques used by certain groups of people (ex: Shamanism). It was a group paper; each person wrote about 500 words to make a 2,000 word paper. Very easy class and interesting class. HOWEVER, this does not count for anthropology credit; it will count as an elective course. So if you want to knock out your sociology/psychology/anthropology breadth requirement, this course will not do that. 	2	11/6/2022
ANTH100	4.00	Took Professor Young Oh. 10 weekly response posts (500+ word response) and 2 response posts (100+ word response). A debate  video (group work optional; 10-30 minute video of you taking on the role of an anthropologists and debating a chosen topic). You have the choice of taking a comprehensive Final exam (multiple choice, True-false, and essay questions) or writing up a thesis (15 page summary-argumentation essay on the class). You can easily get by without the readings or videos, just familarize yourself with lecture slides. Hardest part of the class is if you try to keep up with all of the readings and videos, there are at least 10 each week. 	4	5/21/2021
ANTH104	4.00	Took Sara Becker. There are two major projects in the class, each being a month long. The first gives the option between a cemetery anaysis (going to a cemetery and writing a analytical report on it), and a monument burial analysis (you are given a fake monument burial scenario and have to analyze that). They are meant to be 5-6 pages long and you have the option of either doing it alone or as a group of up to 5 people. The second project is a oseobiography (choosing some bones and using knowledge learned in class to try and write a biography of the individual based on their remains; this being a 3-5 minute recording of you talking over a powerpoing and a written commentary - a couple pages). There are weekly discussions, lowest grade dropped. The midterm is about 40 questions long( multiple choice or matching letter to picture; all material from the lecture). You are allowed 1 page of notes, only one side. Final is in the same format but with a few more questions.	4	2/12/2022
ANTH115R	6.50	2 midterms, one take home quiz, and one final, good teacher, but you need to study HARD! Memorization is key to passing	8	3/23/2019
		Avoid Karl Taube. The class set up seems really simple but is stressful. You are only graded on a midterm and final. But his lecturing style makes note taking difficult. He does lectures in a story telling way and jumps back and forth between locations and time periods. The transition between topics is also very fluid and unclear. There is an extra credit paper you can do that will bring up your grade by a whole letter grade (a professor approved topic, 8-10 pages, with at least 3 sources). The midterm and final are 14 questions long (12 questions are identifying the who, what, and where of a site, defining a term, andor describing a prominent person; the last 2 are picking 2 essay questions from 3 given topics.). If taking him be sure to put major focus on memorizing names, dates, and major events tied to the sites he mentions. 	5	2/12/2022
ANTH118	7.00	Took it with Dr. Nawa Sugiyama. She works at a very fast pace and squishes in so much information into one session. Take pictures of the slides instead of taking notes so you can pay attention to what she is saying. There are weekely quizzes (only need to do 9 of 10), she uses PollEverywhere in class for participation, and there is group project on an ancient city of your choice (includes: the presentation, choosing an article for the class to read, making poll/quiz questions, and making a blog). 	7	3/25/2021
ANTH120	2.00	Online Summer course with Francisco Ramos. Very laid back professor. He grades mostly on effort of your assessments. There were 4 assignments, each being 1 - 2.5 pages (MLA format). For the online course we only had to attend class once a week. You could honestly get away with not readings or modules. Not sure how much will change once we go back to in person classes but he practically hands out A's. Textbook is given for free by professor along with any other reading materials. 	2	8/23/2021
ANTH132	9.00	Took it with Young Oh. LOTS OF WORK, AVOID THIS PROFESSOR. You are given 3 options: take weekly quizzes(10 total), 1-2 theses at the end of the quarter(7-12 pages), or a final exam(multiple choice, TF, Short answer, and essay questions) . There are weekly readings, weekly recorded lectures, 3 reflection posts(300-400 words) + feedback(100-200 words), 2 reading posts(400-800 words) +feedback(100-200 words), a book club meeting(30-90 minutes recorded and sent to professor), a meeting with the professor to discuss the topic for your eco-ethnography project, a climate change critique post(600-1000 words) + feedback(100-200 words), and an Eco-Ethnography project (includes: proposal, feedback, and the paper(2000-4000 words)). 	9	3/25/2021
ANTH140G	2.00	no final, just write random stuff on your homeworks and you pretty much guarantee at least a B in that class	2	8/24/2018
ANTH115S	9.00	Avoid taking with Karl Taube	9	12/10/2019
ANTH123	2.00	Took it with Professor Hyejin Nah. Just show up to class and turn it the assignments and it's an easy A. If you're doing a BCOE major this is a good one for DEPTH requirement if you happen to have a LING020 credit like I did.	2	4/1/2023
ANTH127S	2.00	Took Phuoc Duong. Weekly Responses (5 -10 sentences; 10 total). 1 syllabus quiz. 1 midterm (multiple choice; 52 questions). 1 Final (multiple choice). 1 final essay(6-8 pages)(For our class he took it out and added essay questions into the final due to time constraints.)Graded for attendance to lecture. Graded for attendance to discussion section. Lectures are a bit useless since he reads straight from the slide show, but he grades for attendance. before the midterm you can get away with not doing the readings since there are only 2-3 questions about the readings in the midterm, but after the midterm he starts to heavily rely on the readings in the weekly responses. Not a whole lot of work, just tedious. 	2	5/21/2021
ANTH153	5.00	Took it with Maureen Hickey. Its not a hard class itself but it was made more difficult because the lectures are so dry. She also loves break out rooms and will often leave you in those rooms for 30-40 minutes, way longer than needed. There are two midterms (30 multiple choice + one essay),a final (45 multiple choice + 5 writing prompts (1-6 sentences)), a term paper (4-6 pages), and a 30-60 second presentation on that papers findings. Be sure to make a group google doc so you can all add information for the midterm s and final, its really what got me through the class, cause it is impossible to pay attention.	5	3/25/2021
ANTH155	6.00	Elizabeth Berger is pretty great. The course is generally hard due to you having to memorize the human skeleton but she makes it a bit easier by breaking it down. She does a quiz every Friday to test your knowledge. There are no midterms or final, just 10 of the Friday quizzes. There are also in class labs that you work on every class. Not too complicated or long and she is more than willing to go through it step by step if you ask. There is no set due date for any of the labs - just get them in when you finish. Slides for lecture at posted on elearn and the book is available on Amazon. She’s a pretty nice teacher and is no too harsh of a grader. No sure if it will continue but this quarter they are testing out giving students full skeletons to take home to study with - personally never took it out of the box. 	6	11/22/2021
ANTH165G	3.00	Took Professory Anthony Jerry. There is a quarter long group project. There are 4 individual parts to turn in; question section, data section, methodology section and final report; all of it worth 175 points and takes place instead of a final. discussion posts (18 total; 2paragraphs minimum) with 2 responses (1 paragraph minimum). No midterm. He posts summaries of each readings instead of having lecture, you can read these instead of the readings, much shorter and to the point if you are short for time. He really takes his time grading, so don't expect to see anything graded till the end of the quarter. 	3	5/21/2021
ARC005	1.00	ONLINE FALL 2022, EASY MONEY, quizzes every week but you can just do all of them at the start cause theyre all on quizlet, midterm and exams are easy too	1	11/16/2022
ARC072	2.00	This class is easy, just show up, take notes, and listen. They require you to do homework but you should go for the online stuff instead of purchasing the book because it is useless and you never use it again.	4	4/16/2020
ART001	3.00	"I took it with Anna Betbeze, but generally this type of art class is very subjective and no one is ever told ""your drawing sucks."" I got an A in the class, but you shouldn't struggle to get an A whether you're an Art major like me or not. When you register, it shows the class and studio time. It's one after the other, so you're there for nearly 3 hours. Don't get discouraged by the time, it's necessary to have a long class for art because of the activities you're doing and sometimes there will be critiques - where everyone goes around to talk about what they liked about the drawing and what could be improved/done differently. Attendance is mandatory, if you miss one class you can miss out on a lot if it was on a critique day. Your homework is 3 large drawings each week, and she gives you a theme for the drawings, it's all still life for the most part. This class does require you to buy art supplies."	3	2/27/2019
ART002	2.50	(COVID ERA) I took this class with Gerald Sheffield and it was extremely easy. Art is a subjective course so you can pretty much do whatever you want in this class (as long as it pertains to the theme). Every week there's a new theme (figure, landscape, still life, etc.) and you just need to paint things based on that theme. The materials can get really pricey but Gerald was pretty lenient with whatever material you use. The online class was set up with you logging on and following Gerald's painting examples but there were also times where you explain your painting process and thoughts when you showcase and review your pieces in class. If you want an easy course without minding spending somewhere between $50-$100+ on materials then go for this class. 	1	6/10/2021
		Online summer course with Pearl Hsiung and Rosie Galanis. Easy enough class. The hardest part is dedicating enough time to paint the assignments. There are a 3 smaller assignments focusing on color and scales, 3 medium paintings and 1 final large painting. If you take the class be sure to shop around as soon as you get the requirement list so you can get the best price. The kit she recommends to get for the class starts at about $120. Don't be afraid to get cheap materials. The art department also has free art supplies they give out, so be sure to check with them too.	4	8/23/2021
ART003	1.00	took online with professor conaway, assignments were pretty simple and class time was mostly her showing photographers' work as examples or us presenting the photos we took for an assignment. labs are by appointment so you don't need to go unless you need help with smth. she was really nice & class was fun and straightforward!	1	12/9/2020
		OMG EASIEST CLASS EVER WITH SARAH first day of class mandatory, it's soo easy mondays are when she shares the images you took in class and wednesdays she would show slideshow of pics SUPER EASY CLASS i would barley even attend class and i got a A little photography assignments like taking 5 portrait pics for one week SUPER EASY RECOMMEND 100%	1	12/17/2021
ART005	4.00	Super easy with Professor Charles Long. There is reading tho.	3	3/19/2018
		Took Young Joon Kwak. Only difficult due to the professor having poor management skills. I took them in the fall quarter so thanksgiving got in the way of the final project. We only have 1 in class day to work on the final project and have to take it home to finish over break. The class over all is relatively chill. Since it’s an art class the art is subjective. Professor just needs to see that you have put in effort. There are 3 reading - 2 require write ups- and each project requires a project statement. Also different from the name you are not working with clay or ceramics. The class is about building sculptures with wood,metal,plaster, etc. It’s definitely a messy class, have clothes you don’t mind getting dirty. 	5	11/22/2021
ART006	1.00	took online with professor larios, you can probably get away with not doing anything for this class but you'll understand the material more if you actually attend class. lectures were pretty heavily discussion-based so it was mostly us talking about the readings/videos but you don't have to talk at all if you're not comfortable. in short, the class was easy and the material is very thought-provoking but can be hard to digest sometimes.	1	12/9/2020
		Great class. Mostly analysis of videos and the class is genuinely fun. Find a way to take it while the sun is up though cause walking back to the dorms from the Art Building is kind of scary.	1	1/18/2023
ART010	1.00			
AST023	See CPLT023			
AST046	See CHN046			
BCH010	1.50	The professor is really chill. If u get 85 or above, you get an A	1	11/19/2021
		I took this class with professor Paul Larsen and honestly one of the easiest classes I’ve taken. Everything is online, open note, open internet. There’s only two projects and overall he literally just wants you to listen and learn. Discussion is optional. Lecture I reccommend going to not because the material is hard but just he is a really funny guy and the stuff you learn is actually really helpful if you wanna learn about how to eat healthier .	2	5/16/2023
BCH015	2.67	Wet lab fairly simple but fitting everything in flowchart is a little tedious. Computer lab is easy but the quizzes kind of suck. Only need basic chem knowledge.	1	3/30/2019
		Molecular graphics portion was super easy, wet lab was a little harder with more math, but overall everything was easy. Molecular graphics test was a project and the wet lab final was open note and take home. Easily the easiest A I’ve ever had.	3	12/19/2020
		(Took it during Winter 2021 when classes were online) The class was relatively ok. The first half taught by Dr. Dingwall was more structured and I think easier to follow along with because it is similar to other underdiv wet lab courses. The second half that was taught by Dr. Fan was a lot more difficult for me mainly because it was unlike any other class I had taken before. You had to use this other online software to analyze molecules and you basically just followed along as Dr. Fan would show you what to do. Homework was assigned weekly and that wasn't too bad as long as you paid attention during lecture. Overall, the class isn't difficult; it's just tedious and requires a lot of time. 	4	3/25/2021
BCH095	1.00	Basically a freshman seminar for students who are majoring in Biochemistry (Pass/No Pass). Super easy class and you need to seriously try if you want to fail. Professor Debus makes it really easy for you to get points (4 question quizzes that you have unlimited attempts to finish by a deadline and Poll.ev aka. think of a clicker but online). All of the lectures are useful for you as a student because it introduces you to different resources that will help you find your path and support you during your time at UCR. Although I had enough points to pass the class, I still went to lectures for that reason. 	1	12/14/2018
		Took it with Richard Luben. At the first class, he said he would take attendance using Poll Everywhere but he never did, so majority of the class never went. Pass/No Pass class that's super easy as long as you complete the online quizzes about each presentation posted online. Even though the overall class was boring, some of the presentations taught me about more opportunities to get involved in UCR and the community to help me build up my resume as a freshman. 	1	5/8/2020
BCH096	1.00	Very useless class. Mandatory for Biochem majors with medical emphasis. One paper on plan for medical school. Class was a rehash of BCH 95 but just with the paper. 	1	6/15/2019
BCH100	5.64	Dingwall is the best prof for this course. Cutoffs are awesome. But dont fall behind in her coursework. 	6	12/31/2017
		The only reason i didn't give this a 10/10 for difficulty was the pass rate was 95%	7	3/26/2019
		Taken with Paul Larsen. Honestly was much easier than expected. Test are fair, he tells you what will be on it. There is a lot to memorize but if you keep with it it should not be a problem. Larsen is also really funny and makes class enjoyable, would recommend recording his lectures!	6	12/17/2019
		I really liked P. Larsen. He was really funny which made it easy to pay attention in class. He had 5 quizzes taken during discussion so we didn't always have to go to discussion every week. We had only one midterm and the final. He recorded lectures which was really nice because he tends to talk fast. Just make sure to be on top of your stuff and you'll do well.	5	12/4/2020
		Medium difficulty; take it with Paul Larsen. He teaches well, gives extra credit, and curves the class as well at the end. 	6	12/29/2020
